Iteracion,Hora
0,0.0
0,0.0
0,0.03125
0,0.046875
0,0.046875
0,0.046875
0,0.046875
0,0.0625
0,0.140625
0,0.140625
0,0.15625
0,0.15625
0,0.15625
0,0.15625
0,0.15625
0,0.25
0,0.34375
0,0.0
0,0.0625
0,0.0625
0,0.078125
0,0.0
0,0.03125
0,0.03125
0,0.03125
0,0.15625
0,0.03125
0,0.03125
0,0.078125
0,0.109375
0,0.15625
0,0.1875
0,0.1875
0,0.234375
0,0.234375
0,0.234375
0,0.25
0,0.390625
1,0.0
2,0.0625
3,0.0625
4,0.0625
5,0.078125
6,0.078125
7,0.140625
8,0.140625
1,0.0
2,0.015625
3,0.015625
4,0.015625
5,0.015625
6,0.015625
7,0.015625
8,0.015625
9,0.015625
10,0.015625
11,0.015625
12,0.015625
13,0.03125
14,0.03125
15,0.03125
16,0.03125
17,0.046875
18,0.046875
19,0.0625
20,0.0625
21,0.0625
22,0.0625
23,0.0625
24,0.0625
25,0.125
26,0.203125
27,0.203125
28,0.203125
29,0.203125
30,0.21875
31,0.21875
32,0.234375
33,0.234375
34,0.25
35,0.25
36,0.265625
37,0.265625
38,0.28125
39,0.296875
40,0.3125
41,0.3125
42,0.3125
43,0.3125
44,0.3125
45,0.3125
46,0.3125
47,0.328125
48,0.328125
49,0.34375
50,0.359375
