Iteracion,Hora
0,4.5
1,9.0
2,13.5
3,18.015625
4,22.53125
5,27.046875
6,31.90625
7,36.84375
8,41.8125
9,46.8125
10,51.8125
11,56.8125
12,61.8125
13,66.8125
14,71.8125
0,17.328125
1,34.65625
2,52.0
3,69.375
4,86.765625
5,104.171875
6,121.625
7,139.09375
8,156.578125
9,174.078125
0,3.8125
1,7.625
2,11.4375
3,15.25
4,19.078125
5,22.90625
6,26.734375
7,30.5625
8,34.390625
9,38.21875
10,42.046875
11,45.890625
12,49.734375
13,53.578125
14,57.421875
15,61.265625
16,65.109375
17,68.953125
18,72.796875
19,76.640625
