Iteracion,Hora
1,0.0
2,0.0
3,0.0
4,0.015625
5,0.015625
6,0.015625
7,0.015625
8,0.03125
9,0.03125
10,0.03125
11,0.03125
12,0.03125
13,0.03125
14,0.03125
15,0.03125
16,0.03125
17,0.03125
18,0.03125
19,0.046875
20,0.0625
21,0.0625
22,0.0625
23,0.125
1,0.0
2,0.0625
3,0.0625
4,0.0625
5,0.0625
6,0.078125
7,0.078125
8,0.109375
9,0.109375
10,0.203125
11,0.203125
12,0.234375
13,0.25
14,0.265625
15,0.28125
16,0.296875
17,0.296875
18,0.296875
19,0.296875
20,0.328125
21,0.328125
22,0.328125
23,0.34375
24,0.34375
25,0.359375
1,0.0
2,0.015625
3,0.046875
4,0.046875
1,0.0
2,0.03125
3,0.046875
4,0.046875
5,0.046875
6,0.0625
7,0.078125
8,0.15625
9,0.265625
10,0.28125
11,0.28125
12,0.390625
1,0.0
2,0.03125
3,0.046875
4,0.0625
5,0.0625
6,0.078125
7,0.078125
8,0.09375
9,0.109375
10,0.109375
1,0.0
2,0.015625
3,0.015625
4,0.046875
5,0.0625
6,0.0625
7,0.125
8,0.25
9,0.40625
10,0.515625
11,0.53125
12,0.625
13,0.703125
14,0.9375
15,0.984375
16,1.03125
17,1.078125
18,1.125
19,1.15625
20,1.15625
1,0.0
2,0.046875
3,0.0625
4,0.09375
5,0.09375
6,0.09375
7,0.09375
8,0.125
9,0.125
10,0.125
11,0.125
12,0.140625
13,0.15625
14,0.15625
15,0.171875
16,0.203125
17,0.203125
18,0.203125
19,0.234375
20,0.265625
21,0.265625
22,0.265625
23,0.28125
24,0.40625
25,0.4375
1,0.03125
2,0.03125
3,0.03125
4,0.0625
5,0.0625
6,0.0625
7,0.078125
8,0.09375
9,0.09375
10,0.109375
11,0.109375
12,0.109375
13,0.109375
14,0.125
15,0.140625
16,0.140625
17,0.171875
18,0.1875
19,0.1875
20,0.203125
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.015625
12,0.0
13,0.0
14,0.0
15,0.0
1,0.0
2,0.0625
3,0.078125
4,0.078125
5,0.09375
6,0.09375
7,0.09375
8,0.109375
9,0.125
10,0.140625
11,0.15625
12,0.15625
13,0.203125
14,0.21875
15,0.25
1,0.0
2,0.0
3,0.015625
4,0.015625
5,0.03125
6,0.03125
7,0.03125
8,0.03125
9,0.03125
10,0.046875
11,0.046875
12,0.046875
13,0.046875
14,0.046875
15,0.046875
