Iteracion,Hora
0,0.3017241379310345
1,0.603448275862069
2,0.9051724137931034
3,1.206896551724138
4,1.5086206896551724
5,1.8103448275862069
6,2.112068965517241
7,2.413793103448276
8,2.7155172413793105
9,3.017241379310345
10,3.31896551724138
11,3.6206896551724146
12,3.9224137931034493
13,4.224137931034484
14,4.525862068965519
15,4.827586206896553
16,5.129310344827588
17,5.431034482758623
18,5.7327586206896575
19,6.034482758620692
20,6.336206896551727
21,6.637931034482762
22,6.939655172413796
23,7.241379310344831
24,7.543103448275866
25,7.8448275862069
26,8.146551724137934
27,8.448275862068968
28,8.750000000000002
