Iteracion,Hora
0,0.32273706896551724
1,0.6454741379310345
2,0.9682112068965517
3,1.290948275862069
4,1.6136853448275863
5,1.9364224137931036
6,2.259159482758621
7,2.5818965517241383
8,2.9046336206896557
9,3.227370689655173
10,3.5501077586206904
11,3.8728448275862077
12,4.195581896551725
13,4.518318965517242
14,4.841056034482759
15,5.163793103448276
16,5.486530172413793
17,5.80926724137931
18,6.1320043103448265
19,6.454741379310343
20,6.77747844827586
21,7.100215517241377
22,7.422952586206894
23,7.745689655172411
24,8.068426724137929
25,8.391163793103447
26,8.713900862068964
27,9.036637931034482
28,9.359375
