Iteracion,Hora
0,0.2279094827586207
1,0.4558189655172414
2,0.6837284482758621
3,0.9116379310344828
4,1.1395474137931034
5,1.3674568965517242
6,1.5959051724137931
7,1.824353448275862
8,2.052801724137931
9,2.28125
10,2.509698275862069
11,2.738146551724138
12,2.966594827586207
13,3.195043103448276
14,3.4234913793103448
15,3.6519396551724137
16,3.8803879310344827
17,4.108836206896552
18,4.337284482758621
19,4.56573275862069
20,4.79418103448276
21,5.022629310344829
22,5.251077586206899
23,5.479525862068968
24,5.707974137931037
25,5.936422413793107
26,6.164870689655176
27,6.3933189655172455
28,6.621767241379315
