Iteracion,Hora
0,0.1476293103448276
1,0.2952586206896552
2,0.44288793103448276
3,0.5905172413793104
4,0.738146551724138
5,0.8857758620689656
6,1.0334051724137931
7,1.1826508620689655
8,1.331896551724138
9,1.4811422413793103
10,1.6303879310344827
11,1.779633620689655
12,1.9288793103448274
13,2.078125
14,2.2273706896551726
15,2.376616379310345
16,2.525862068965518
17,2.6751077586206904
18,2.824353448275863
19,2.9735991379310356
20,3.122844827586208
21,3.272090517241381
22,3.4213362068965534
23,3.570581896551726
24,3.7198275862068986
25,3.869073275862071
26,4.018318965517244
27,4.167564655172416
28,4.316810344827589
